sbert_pca_0,sbert_pca_1,sbert_pca_2,sbert_pca_3,sbert_pca_4,sbert_pca_5,sbert_pca_6,sbert_pca_7,sbert_pca_8,sbert_pca_9
-0.2166261,-0.02267757,0.13474433,0.084484585,-0.2951259,0.031053022,-0.16959687,0.1104496,0.006732449,-0.04269241
-0.12519157,-0.025461257,0.17459247,0.056013465,-0.22387184,0.20691565,-0.10869759,-0.03911895,-0.0016941577,0.02643
-0.10725556,0.016031146,0.10708239,0.10766035,-0.28330627,0.14980525,-0.14590509,0.09412095,0.04962734,-0.011517553
-0.34399185,0.043638766,-0.011043444,0.20434669,-0.12793224,0.20576921,0.0027542338,-0.07862739,0.10849009,-0.09650454
-0.3463151,0.06070459,-0.0027959794,0.22287516,-0.091598295,0.17467296,-0.024720348,-0.0461152,0.102458425,-0.08242912
-0.32396677,0.00039702654,0.11401322,0.18508153,-0.14004496,0.08829449,-0.09767975,-0.07234301,0.07082216,-0.038120165
-0.40375748,0.019600034,0.051819578,0.27629873,-0.13612089,0.0067023635,0.0019181967,-0.06152751,0.12707698,0.030507196
-0.4120658,0.06904894,0.05039961,0.2563385,-0.1647357,0.063788,-0.006451957,-0.019999806,0.054461807,-0.009213254
-0.3477795,0.06856769,0.07752529,0.25684902,-0.1856177,0.07190052,-0.010366619,-0.02275518,0.117791764,-0.004882559
-0.25843456,0.07395172,0.08651753,0.0857714,-0.18790834,-0.1610718,-0.114059076,-0.08384603,0.103203095,0.047062073
-0.35211766,0.041957617,0.059623517,0.10525447,-0.12584676,-0.048491947,-0.07113856,-0.100617096,0.050279967,-0.038716942
-0.33981588,0.12039584,0.038083665,-0.11405285,-0.08053131,-0.09676626,-0.024696298,-0.1977735,-0.023807272,-0.12686917
-0.31738025,0.102856874,-0.0043360367,-0.06222402,-0.15954718,-0.08915685,-0.047341913,-0.19236307,0.0048929527,-0.062826455
-0.28506464,0.112981796,0.07160388,-0.102808625,-0.15725131,-0.13983291,-0.012889862,-0.19261545,0.040033683,-0.06792725
-0.28561237,0.111694515,0.03381776,-0.095993996,-0.0832921,-0.13811342,-0.052337825,-0.19809188,0.013082936,-0.060667936
-0.3236471,0.086520374,-0.049658917,-0.028950337,-0.1872123,-0.014278434,0.10363053,-0.11187364,-0.025106471,-0.032078743
-0.32111233,0.106496274,0.01017904,-0.09482603,-0.14985569,-0.10338209,-0.015362911,-0.22732075,-0.008371621,-0.110272124
-0.33945492,0.072888434,0.030071065,-0.19870262,-0.18167457,-0.13541245,-0.0018705502,-0.17379753,-0.0493172,-0.030767005
-0.26258332,-0.0005878806,-0.022411507,-0.100873634,-0.2520917,-0.16318138,0.050759207,-0.06562671,-0.08947521,0.09575026
-0.24866861,0.08600402,-0.041329607,-0.17490686,-0.2505682,-0.11410958,0.039643686,-0.01821236,-0.035760853,0.07043114
-0.22592247,0.09016734,-0.12885599,0.022211831,-0.24144958,0.10644871,0.064895265,0.03930317,0.008617744,0.120347306
-0.15206681,0.13651979,-0.12544614,-0.12119827,-0.18259877,0.045392245,0.08213801,-0.02181251,-0.088799246,0.07598062
-0.1742455,0.14616483,-0.11840907,-0.12360862,-0.162932,0.04376249,0.070862465,-0.043246027,-0.09033629,0.09197609
-0.17790493,0.15034479,-0.10144764,-0.13408995,-0.17624293,0.03986834,0.072261535,-0.022970546,-0.10872446,0.07951163
-0.17764457,0.15663761,-0.1231468,-0.11837661,-0.12569803,-0.007854395,0.049179476,-0.057968017,-0.08022316,0.03917386
-0.14793622,0.15473336,-0.15991664,-0.13672338,-0.07567249,-0.004843183,0.027832698,-0.033678133,-0.077242725,0.016559694
-0.16181767,0.15314215,-0.13402085,-0.13392681,-0.0717834,-0.03438516,0.039330304,-0.011797357,-0.061249387,0.020737614
-0.2018274,0.1568799,-0.1221962,-0.1417598,-0.077987514,-0.011795983,-0.00053185225,0.022193678,-0.10129008,0.0009869412
-0.20345068,0.15668625,-0.120534256,-0.16691674,-0.085258015,-0.0016018376,0.008241914,0.011996366,-0.12867974,-0.014716838
